4	1806104
4	1805658
15	66727442
7	138391446
2	71185243
7	117120149
1	154557469
1	154557734
8	42146209
1	154571033
1	154558656
8	42146209
2	227872823
2	227872191
10	89624227
1	10003561
1	10032132
2	143685263
1	173873056
1	173873040
4	155526147
10	123276856
10	123276979
3	178916854
19	13323018
19	13320281
20	57466784
8	72123405
8	72123390
4	175414300
5	79950607
5	79950631
11	112097167
17	61784609
17	61781765
16	2098642
4	39301879
4	39303896
19	50920507
8	22265844
8	22265865
2	120003372
8	145140988
8	145140489
2	197712670
1	1167659
1	1167660
16	17211598
9	94985660
9	95005524
6	30884022
15	52416686
15	52416814
1	1737942
17	7980230
17	8076766
4	108852800
1	150990382
1	150990970
6	132129383
